Hat Kodu,Gun,Saat,Konum Bilgisi,Personel Sicili,Surucu Performans Puani,Target
2,3,16,41,641200,81.31,0
2,3,35,60,611397,90,1
2,6,43,55,315031,95,0
1,6,40,1,830104,91,1
2,2,21,45,317206,90.5,1
1,4,35,72,318311,83.48,0
1,4,19,5,640525,93,0
1,2,20,1,316524,88.45,1





























































































































































































































































































































































































































































































































































































































































































































































































































